product_id,product_name,slug,turbosquid_url,referral_url,price,sales_qty,estimated_revenue,recent_sales,downloads,full_previews,shopping_carts,days_in_sales,certification,category,subcategory,industries,use_cases,seo_keywords,priority_score,is_top_model,image_url
1199544,Slice of Watermelon,slice-of-watermelon-1199544,https://www.turbosquid.com/3d-models/slice-of-watermelon-1199544,https://www.turbosquid.com/3d-models/slice-of-watermelon-1199544?referral=3d_molier-studio,29.0,92.0,2668.0,19.0,121.0,3706.0,116.0,3130.0,CheckMate Lite/Pro,Other,,Film & Video Production|Advertising|Graphics Multimedia and Web Design,visualization|advertising|3D printing|film production,slice of watermelon 3d model|3d model download|slice of watermelon turbosquid,0.162635,True,https://static.turbosquid.com/Preview/001199/544/Slice-Of-Watermelon_D_Main.jpg
1085902,Sikorsky UH-60 Black Hawk US Military Utility Helicopter,sikorsky-uh-60-black-hawk-us-military-utility-helicopter-1085902,https://www.turbosquid.com/3d-models/sikorsky-uh-60-black-hawk-us-military-utility-helicopter-1085902,https://www.turbosquid.com/3d-models/sikorsky-uh-60-black-hawk-us-military-utility-helicopter-1085902?referral=3d_molier-studio,179.0,142.0,25418.0,28.0,213.0,53094.0,322.0,3447.0,CheckMate Lite/Pro,Military Vehicles,Black Hawk,Military / Defense|Games|Film & Video Production|Simulation,military simulation|game environments|film production|defense training,sikorsky uh-60 black hawk 3d model|military vehicle 3d model|military 3d model|tank 3d model,0.334177,True,https://static.turbosquid.com/Preview/001085/902/Sikorsky-Uh-60-Black-Hawk-Us-Military-Utility-Helicopter_D_Main.jpg
1093745,Sikorsky UH-60 Black Hawk US Military Utility Helicopter Rigged,sikorsky-uh-60-black-hawk-us-military-utility-helicopter-rigged-1093745,https://www.turbosquid.com/3d-models/sikorsky-uh-60-black-hawk-us-military-utility-helicopter-rigged-1093745,https://www.turbosquid.com/3d-models/sikorsky-uh-60-black-hawk-us-military-utility-helicopter-rigged-1093745?referral=3d_molier-studio,289.0,23.0,6647.0,0.0,32.0,5243.0,42.0,3423.0,CheckMate Lite/Pro,Military Vehicles,Black Hawk,Military / Defense|Games|Film & Video Production|Simulation,military simulation|game environments|film production|defense training,sikorsky uh-60 black hawk 3d model|military vehicle 3d model|military 3d model|tank 3d model,0.15085,True,https://static.turbosquid.com/Preview/001093/745/Sikorsky-Uh-60-Black-Hawk-Us-Military-Utility-Helicopter-Rigged_D_Main.jpg
1678167,Bagger 293 Bucket Wheel Excavator Rigged,bagger-293-bucket-wheel-excavator-rigged-1678167,https://www.turbosquid.com/3d-models/bagger-293-bucket-wheel-excavator-rigged-1678167,https://www.turbosquid.com/3d-models/bagger-293-bucket-wheel-excavator-rigged-1678167?referral=3d_molier-studio,259.0,6.0,1554.0,3.0,5.0,10131.0,14.0,1903.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,bagger 293 bucket wheel 3d model|vehicle 3d model|car 3d model|bagger 293 bucket wheel for games,0.138949,True,https://static.turbosquid.com/Preview/001678/167/Bagger-293-Bucket-Wheel-Excavator-Rigged_D_Main.jpg
1780510,Bagger 293 Bucket Wheel Excavator,bagger-293-bucket-wheel-excavator-1780510,https://www.turbosquid.com/3d-models/bagger-293-bucket-wheel-excavator-1780510,https://www.turbosquid.com/3d-models/bagger-293-bucket-wheel-excavator-1780510?referral=3d_molier-studio,219.0,12.0,2628.0,5.0,15.0,5803.0,23.0,1676.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,bagger 293 bucket wheel 3d model|vehicle 3d model|car 3d model|bagger 293 bucket wheel for games,0.145138,True,https://static.turbosquid.com/Preview/001780/510/Bagger-293-Bucket-Wheel-Excavator_D_Main.jpg
1781122,Mining Multi Bucket Wheel Excavator,mining-multi-bucket-wheel-excavator-1781122,https://www.turbosquid.com/3d-models/mining-multi-bucket-wheel-excavator-1781122,https://www.turbosquid.com/3d-models/mining-multi-bucket-wheel-excavator-1781122?referral=3d_molier-studio,219.0,14.0,3066.0,6.0,18.0,1894.0,23.0,1675.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,mining multi bucket wheel 3d model|vehicle 3d model|car 3d model|mining multi bucket wheel for games,0.146261,True,https://static.turbosquid.com/Preview/001781/122/Mining-Multi-Bucket-Wheel-Excavator_D_Main.jpg
1487699,Airport Big Collection,airport-big-collection-1487699,https://www.turbosquid.com/3d-models/airport-big-collection-1487699,https://www.turbosquid.com/3d-models/airport-big-collection-1487699?referral=3d_molier-studio,899.0,34.0,30566.0,8.0,75.0,16475.0,128.0,2288.0,CheckMate Lite/Pro,Other,,Film & Video Production|Advertising|Graphics Multimedia and Web Design,visualization|advertising|3D printing|film production,airport big collection 3d model|3d model download|airport big collection turbosquid,0.176007,True,https://static.turbosquid.com/Preview/001487/699/Airport-Big-Collection_D_Main.jpg
1081625,Swirl Lollipop,swirl-lollipop-1081625,https://www.turbosquid.com/3d-models/swirl-lollipop-1081625,https://www.turbosquid.com/3d-models/swirl-lollipop-1081625?referral=3d_molier-studio,29.0,80.0,2320.0,5.0,122.0,28792.0,115.0,3460.0,CheckMate Lite/Pro,Other,,Film & Video Production|Advertising|Graphics Multimedia and Web Design,visualization|advertising|3D printing|film production,swirl lollipop 3d model|3d model download|swirl lollipop turbosquid,0.148205,True,https://static.turbosquid.com/Preview/001081/625/Swirl-Lollipop_D_Main.jpg
1227301,Offshore Wind Power Turbine Generic,offshore-wind-power-turbine-generic-1227301,https://www.turbosquid.com/3d-models/offshore-wind-power-turbine-generic-1227301,https://www.turbosquid.com/3d-models/offshore-wind-power-turbine-generic-1227301?referral=3d_molier-studio,49.0,196.0,9604.0,47.0,251.0,6753.0,280.0,3051.0,CheckMate Lite/Pro,Other,,Film & Video Production|Advertising|Graphics Multimedia and Web Design,visualization|advertising|3D printing|film production,offshore wind power turbine 3d model|3d model download|offshore wind power turbine turbosquid,0.283475,True,https://static.turbosquid.com/Preview/001227/301/Offshore-Wind-Power-Turbine-Generic_D_Main.jpg
1768801,Electric Liftback Sedan,electric-liftback-sedan-1768801,https://www.turbosquid.com/3d-models/electric-liftback-sedan-1768801,https://www.turbosquid.com/3d-models/electric-liftback-sedan-1768801?referral=3d_molier-studio,149.0,38.0,5662.0,7.0,55.0,2026.0,75.0,1703.0,CheckMate Lite/Pro,Vehicles,Sedan,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,electric liftback sedan 3d model|vehicle 3d model|car 3d model|electric liftback sedan for games,0.167837,True,https://static.turbosquid.com/Preview/001768/801/Electric-Liftback-Sedan_D_Main.jpg
1394253,Kalmar Ottawa T2 Terminal Tractor 3D Model,kalmar-ottawa-t2-terminal-tractor-3d-model-1394253,https://www.turbosquid.com/3d-models/kalmar-ottawa-t2-terminal-tractor-3d-model-1394253,https://www.turbosquid.com/3d-models/kalmar-ottawa-t2-terminal-tractor-3d-model-1394253?referral=3d_molier-studio,119.0,35.0,4165.0,14.0,39.0,2924.0,52.0,2555.0,CheckMate Lite/Pro,Vehicles,Tractor,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,kalmar ottawa t2 terminal 3d model|vehicle 3d model|car 3d model|kalmar ottawa t2 terminal for games,0.173827,True,https://static.turbosquid.com/Preview/001394/253/Kalmar-Ottawa-T2-Terminal-Tractor-3d-Model_D_Main.jpg
1398442,Terminal Tractor with Semi Trailer,terminal-tractor-with-semi-trailer-1398442,https://www.turbosquid.com/3d-models/terminal-tractor-with-semi-trailer-1398442,https://www.turbosquid.com/3d-models/terminal-tractor-with-semi-trailer-1398442?referral=3d_molier-studio,149.0,23.0,3427.0,11.0,40.0,1798.0,35.0,2542.0,CheckMate Lite/Pro,Vehicles,Trailer,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,terminal tractor with semi 3d model|vehicle 3d model|car 3d model|terminal tractor with semi for games,0.160042,True,https://static.turbosquid.com/Preview/001398/442/Terminal-Tractor-With-Semi-Trailer_D_Main.jpg
961845,Unmanned Combat Air Vehicle MQ 9 Reaper UAV,unmanned-combat-air-vehicle-mq-9-reaper-uav-961845,https://www.turbosquid.com/3d-models/unmanned-combat-air-vehicle-mq-9-reaper-uav-961845,https://www.turbosquid.com/3d-models/unmanned-combat-air-vehicle-mq-9-reaper-uav-961845?referral=3d_molier-studio,119.0,76.0,9044.0,9.0,110.0,5864.0,111.0,3848.0,CheckMate Lite/Pro,Aircraft,Uav,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,unmanned combat air vehicle 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.20046,True,https://static.turbosquid.com/Preview/000961/845/Unmanned-Combat-Air-Vehicle-Mq-9-Reaper-Uav_D_Main.jpg
2068584,U-Haul 4x8 Cargo Trailer,u-haul-4x8-cargo-trailer-2068584,https://www.turbosquid.com/3d-models/u-haul-4x8-cargo-trailer-2068584,https://www.turbosquid.com/3d-models/u-haul-4x8-cargo-trailer-2068584?referral=3d_molier-studio,49.0,7.0,343.0,7.0,8.0,6078.0,12.0,1058.0,CheckMate Lite/Pro,Vehicles,Trailer,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,u-haul 4x8 cargo trailer 3d model|vehicle 3d model|car 3d model|u-haul 4x8 cargo trailer for games,0.141124,True,https://static.turbosquid.com/Preview/002068/584/U-Haul-4x8-Cargo-Trailer_D_Main.jpg
1311937,KAMAZ Dakar Racing Truck 4326 VK,kamaz-dakar-racing-truck-4326-vk-1311937,https://www.turbosquid.com/3d-models/kamaz-dakar-racing-truck-4326-vk-1311937,https://www.turbosquid.com/3d-models/kamaz-dakar-racing-truck-4326-vk-1311937?referral=3d_molier-studio,149.0,18.0,2682.0,3.0,25.0,6806.0,32.0,2803.0,CheckMate Lite/Pro,Vehicles,Truck,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,kamaz dakar racing truck 3d model|vehicle 3d model|car 3d model|kamaz dakar racing truck for games,0.146153,True,https://static.turbosquid.com/Preview/001311/937/Kamaz-Dakar-Racing-Truck-4326-Vk_D_Main.jpg
1045827,Mountain Bike Generic,mountain-bike-generic-1045827,https://www.turbosquid.com/3d-models/mountain-bike-generic-1045827,https://www.turbosquid.com/3d-models/mountain-bike-generic-1045827?referral=3d_molier-studio,99.0,19.0,1881.0,7.0,26.0,1509.0,26.0,3580.0,CheckMate Lite/Pro,Vehicles,Bike,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,mountain bike generic 3d model|vehicle 3d model|car 3d model|mountain bike generic for games,0.148106,True,https://static.turbosquid.com/Preview/001045/827/Mountain-Bike-Generic_D_Main.jpg
1046962,Mountain Bike GT Fury,mountain-bike-gt-fury-1046962,https://www.turbosquid.com/3d-models/mountain-bike-gt-fury-1046962,https://www.turbosquid.com/3d-models/mountain-bike-gt-fury-1046962?referral=3d_molier-studio,149.0,20.0,2980.0,0.0,23.0,6064.0,53.0,3576.0,CheckMate Lite/Pro,Vehicles,Bike,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,mountain bike gt fury 3d model|vehicle 3d model|car 3d model|mountain bike gt fury for games,0.143812,True,https://static.turbosquid.com/Preview/001046/962/Mountain-Bike-Gt-Fury_D_Main.jpg
2181273,2024 Tesla Cybertruck,2024-tesla-cybertruck-2181273,https://www.turbosquid.com/3d-models/2024-tesla-cybertruck-2181273,https://www.turbosquid.com/3d-models/2024-tesla-cybertruck-2181273?referral=3d_molier-studio,129.0,14.0,1806.0,14.0,17.0,2637.0,21.0,798.0,StemCell,Vehicles,Tesla,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,2024 tesla cybertruck 3d model|vehicle 3d model|car 3d model|2024 tesla cybertruck for games,0.142012,True,https://static.turbosquid.com/Preview/002181/273/2024-Tesla-Cybertruck_D_Main.jpg
1706862,Electric Sport Motorcycle,electric-sport-motorcycle-1706862,https://www.turbosquid.com/3d-models/electric-sport-motorcycle-1706862,https://www.turbosquid.com/3d-models/electric-sport-motorcycle-1706862?referral=3d_molier-studio,129.0,23.0,2967.0,8.0,24.0,1306.0,38.0,1841.0,CheckMate Lite/Pro,Vehicles,Motorcycle,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,electric sport motorcycle 3d model|vehicle 3d model|car 3d model|electric sport motorcycle for games,0.154316,True,https://static.turbosquid.com/Preview/001706/862/Electric-Sport-Motorcycle_D_Main.jpg
923445,Car Rearview Mirror,car-rearview-mirror-923445,https://www.turbosquid.com/3d-models/car-rearview-mirror-923445,https://www.turbosquid.com/3d-models/car-rearview-mirror-923445?referral=3d_molier-studio,29.0,37.0,1073.0,2.0,44.0,2593.0,47.0,3986.0,CheckMate Lite/Pro,Vehicles,Car,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,car rearview mirror 3d model|vehicle 3d model|car 3d model|car rearview mirror for games,0.149465,True,https://static.turbosquid.com/Preview/000923/445/Car-Rearview-Mirror_D_Main.jpg
1057463,Mi-8 Hip Russian Millitary Medium Transport Helicopter,mi-8-hip-russian-millitary-medium-transport-helicopter-1057463,https://www.turbosquid.com/3d-models/mi-8-hip-russian-millitary-medium-transport-helicopter-1057463,https://www.turbosquid.com/3d-models/mi-8-hip-russian-millitary-medium-transport-helicopter-1057463?referral=3d_molier-studio,149.0,17.0,2533.0,7.0,23.0,2164.0,22.0,3541.0,CheckMate Lite/Pro,Aircraft,Helicopter,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,mi-8 hip russian millitary 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.148444,True,https://static.turbosquid.com/Preview/001057/463/Mi-8-Hip-Russian-Millitary-Medium-Transport-Helicopter_D_Main.jpg
1057840,Mi-8 Hip United Nations Medium Transport Helicopter,mi-8-hip-united-nations-medium-transport-helicopter-1057840,https://www.turbosquid.com/3d-models/mi-8-hip-united-nations-medium-transport-helicopter-1057840,https://www.turbosquid.com/3d-models/mi-8-hip-united-nations-medium-transport-helicopter-1057840?referral=3d_molier-studio,149.0,18.0,2682.0,2.0,22.0,1663.0,24.0,3540.0,CheckMate Lite/Pro,Aircraft,Helicopter,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,mi-8 hip united nations 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.141069,True,https://static.turbosquid.com/Preview/001057/840/Mi-8-Hip-United-Nations-Medium-Transport-Helicopter_D_Main.jpg
1515999,Coronavirus 2019-nCoV SARS-CoV-2,coronavirus-2019-ncov-sars-cov-2-1515999,https://www.turbosquid.com/3d-models/coronavirus-2019-ncov-sars-cov-2-1515999,https://www.turbosquid.com/3d-models/coronavirus-2019-ncov-sars-cov-2-1515999?referral=3d_molier-studio,29.0,114.0,3306.0,7.0,141.0,8669.0,181.0,2226.0,StemCell,Other,,Film & Video Production|Advertising|Graphics Multimedia and Web Design,visualization|advertising|3D printing|film production,coronavirus 2019-ncov sars-cov-2 3d model|3d model download|coronavirus 2019-ncov sars-cov-2 turbosquid,0.14751,True,https://static.turbosquid.com/Preview/001515/999/Coronavirus-2019-Ncov-Sars-Cov-2_D_Main.jpg
1395843,Car Hauler Trailer Generic,car-hauler-trailer-generic-1395843,https://www.turbosquid.com/3d-models/car-hauler-trailer-generic-1395843,https://www.turbosquid.com/3d-models/car-hauler-trailer-generic-1395843?referral=3d_molier-studio,79.0,37.0,2923.0,15.0,43.0,2354.0,52.0,2550.0,CheckMate Lite/Pro,Vehicles,Car,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,car hauler trailer generic 3d model|vehicle 3d model|car 3d model|car hauler trailer generic for games,0.173793,True,https://static.turbosquid.com/Preview/001395/843/Car-Hauler-Trailer-Generic_D_Main.jpg
1402626,Truck Hauler Trailer 3D Model,truck-hauler-trailer-3d-model-1402626,https://www.turbosquid.com/3d-models/truck-hauler-trailer-3d-model-1402626,https://www.turbosquid.com/3d-models/truck-hauler-trailer-3d-model-1402626?referral=3d_molier-studio,179.0,11.0,1969.0,3.0,14.0,1868.0,19.0,2529.0,CheckMate Lite/Pro,Vehicles,Truck,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,truck hauler trailer 3d 3d model|vehicle 3d model|car 3d model|truck hauler trailer 3d for games,0.13771,True,https://static.turbosquid.com/Preview/001402/626/Truck-Hauler-Trailer-3d-Model_D_Main.jpg
1496645,Bell V-280 Valor Tiltrotor Aircraft,bell-v-280-valor-tiltrotor-aircraft-1496645,https://www.turbosquid.com/3d-models/bell-v-280-valor-tiltrotor-aircraft-1496645,https://www.turbosquid.com/3d-models/bell-v-280-valor-tiltrotor-aircraft-1496645?referral=3d_molier-studio,119.0,27.0,3213.0,7.0,39.0,4611.0,54.0,2266.0,CheckMate Lite/Pro,Aircraft,Aircraft,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,bell v-280 valor tiltrotor 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.158076,True,https://static.turbosquid.com/Preview/001496/645/Bell-V-280-Valor-Tiltrotor-Aircraft_D_Main.jpg
1522274,Modern Bicycle Helmet Generic,modern-bicycle-helmet-generic-1522274,https://www.turbosquid.com/3d-models/modern-bicycle-helmet-generic-1522274,https://www.turbosquid.com/3d-models/modern-bicycle-helmet-generic-1522274?referral=3d_molier-studio,49.0,37.0,1813.0,12.0,37.0,1714.0,51.0,2211.0,StemCell,Vehicles,Bicycle,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,modern bicycle helmet generic 3d model|vehicle 3d model|car 3d model|modern bicycle helmet generic for games,0.151531,True,https://static.turbosquid.com/Preview/001522/274/Modern-Bicycle-Helmet-Generic_D_Main.jpg
1138628,Boiler Suit Coverall with Safety Helmet,boiler-suit-coverall-with-safety-helmet-1138628,https://www.turbosquid.com/3d-models/boiler-suit-coverall-with-safety-helmet-1138628,https://www.turbosquid.com/3d-models/boiler-suit-coverall-with-safety-helmet-1138628?referral=3d_molier-studio,99.0,28.0,2772.0,5.0,36.0,2098.0,41.0,3300.0,CheckMate Lite/Pro,Industrial Equipment,Boiler,Hardware|Software Development|Simulation|Advertising,hardware presentation|software interface visualization|simulation|advertising,boiler suit coverall with 3d model|industrial 3d model|equipment 3d model|machinery 3d model,0.15228,True,https://static.turbosquid.com/Preview/001138/628/Boiler-Suit-Coverall-With-Safety-Helmet_D_Main.jpg
1517703,Boeing P-8 Poseidon Military Aircraft Rigged,boeing-p-8-poseidon-military-aircraft-rigged-1517703,https://www.turbosquid.com/3d-models/boeing-p-8-poseidon-military-aircraft-rigged-1517703,https://www.turbosquid.com/3d-models/boeing-p-8-poseidon-military-aircraft-rigged-1517703?referral=3d_molier-studio,229.0,10.0,2290.0,3.0,14.0,1951.0,23.0,2222.0,CheckMate Lite/Pro,Aircraft,Aircraft,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,boeing p-8 poseidon military 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.138112,True,https://static.turbosquid.com/Preview/001517/703/Boeing-P-8-Poseidon-Military-Aircraft-Rigged_D_Main.jpg
1518209,Boeing P-8 Poseidon Military Aircraft,boeing-p-8-poseidon-military-aircraft-1518209,https://www.turbosquid.com/3d-models/boeing-p-8-poseidon-military-aircraft-1518209,https://www.turbosquid.com/3d-models/boeing-p-8-poseidon-military-aircraft-1518209?referral=3d_molier-studio,179.0,51.0,9129.0,23.0,65.0,3483.0,75.0,2220.0,CheckMate Lite/Pro,Aircraft,Aircraft,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,boeing p-8 poseidon military 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.20698,True,https://static.turbosquid.com/Preview/001518/209/Boeing-P-8-Poseidon-Military-Aircraft_D_Main.jpg
