model_id,title,category,polygons,vertices,geometry,rigged,animated,unwrapped_uvs,textures,texture_sizes,dimensions,price_usd,license_type,url
2557180,Offshore Jack Up Oil Rig AD-120 Platform,industrial-equipment,6081824,5967436,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192,98.7 x 110.11 x H184.07 m,369,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/offshore-jack-up-oil-rig-ad-120-platform-2557180/
2559254,Porcelain Tea Cup with Saucer and Gumdrops Multicolor,kitchen-tableware,1840621,1581071,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,16.08 x 14.82 x H10.11 cm,69,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/porcelain-tea-cup-with-saucer-and-gumdrops-multicolor-2559254/
2572334,Arri SkyPanel LED Light Studio Set,lighting,512982,553564,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,449.15 x 106.66 x H239.39 cm,149,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/arri-skypanel-led-light-studio-set-2572334/
2564780,Ultra Soft Toothbrush Set Multicolor,medical-3d-models,295242,424865,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,7.22 x 1.35 x H23.2 cm,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/ultra-soft-toothbrush-set-multicolor-2564780/
2576225,Oshkosh Hemtt M985 Guided Missile Transporter,military-vehicles,789859,838466,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,4.04 x 10.76 x H4.16 m,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/oshkosh-hemtt-m985-guided-missile-transporter-2576225/
2558643,Carbon Classic Cello Case Shut,musical-instruments,33221,34344,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",5,2048x2048,,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/carbon-classic-cello-case-shut-2558643/
2556726,LowPoly Deciduous Trees with Dense Foliage Set Green,nature-plants,10644930,11406016,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048 1024x1024,46.97 x 44.5 x H17.56 m,69,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/lowpoly-deciduous-trees-with-dense-foliage-set-green-2556726/
2582863,Oval Office Furniture Set with Rug Fur,other,91475,96624,polygonal,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048,792.18 x 917.4 x H133.26 cm,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/oval-office-furniture-set-with-rug-fur-2582863/
2556735,Offshore Jack Up Crane Boom Structure,ships,4111684,4156432,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,35.97 x 39.17 x H62.15 m,89,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/offshore-jack-up-crane-boom-structure-2556735/
2571246,Universal Studios Rotating Globe Fountain Sculpture,signage-decor,461042,442694,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,4096x4096,555.02 x 555.02 x H497.14 cm,129,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/universal-studios-rotating-globe-fountain-sculpture-2571246/
2564864,Steampunk Time Travel Machine with Leather Seat,space-scifi,1795937,1727159,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,336.97 x 267.9 x H299.76 cm,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/steampunk-time-travel-machine-with-leather-seat-2564864/
2565268,Outdoor American Football Field with Bleachers Fur,sports-recreation,3121379,3243060,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,106.57 x 143.81 x H41.18 m,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/outdoor-american-football-field-with-bleachers-fur-2565268/
2565580,Amazon Warehouse Robot Kermit with Plastic Bins,tools,450716,456202,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192,337.69 x 108.19 x H219.72 cm,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/amazon-warehouse-robot-kermit-with-plastic-bins-2565580/
2576199,Monopoly Giant Edition Board,toys-games,105713,105905,polygonal quads only,model is not jointed,model is not animated,Mixed,0,4096x4096,68.23 x 57.4 x H20.05 cm,69,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/monopoly-giant-edition-board-2576199/
2585342,Tactical Vehicle with Heavy Machine Gun Rigged,vehicles,1131263,1201323,polygonal quads/tris,model is jointed,model is not animated,Mixed,0,8192x8192,321.78 x 578.89 x H406.09 cm,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/tactical-vehicle-with-heavy-machine-gun-rigged-2585342/
2582852,M1 Garand US Rifle with En Bloc Clips Brown,weapons,1302277,1301945,polygonal,model is not jointed,model is not animated,Mixed,0,4096x4096,110.56 x 69.69 x H9.71 cm,79,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/m1-garand-us-rifle-with-en-bloc-clips-brown-2582852/
2554156,Aermacchi M-346FA Light Attack Jet Gray Rigged,aircraft,650811,678606,polygonal quads/tris,model is jointed,model is not animated,Mixed,0,8192x8192 4096x4096,10.41 x 11.78 x H4.94 m,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/aermacchi-m-346fa-light-attack-jet-gray-rigged-2554156/
2556703,Canine Full Anatomy Model with Transparent Body,animals-creatures,965177,966935,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,25.25 x 96.77 x H70.73 cm,349,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/canine-full-anatomy-model-with-transparent-body-2556703/
2572452,Desert Road,architecture-landmarks,14903455,15644455,polygonal quads/tris,model is not jointed,model is not animated,"Yes, overlapping",0,8192x8192 4096x4096 2048x2048 1024x1024,31733.84 x 25523.34 x H3657.72 m,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/desert-road-2572452/
2558695,Police Ford Transit 2020 Basic Interior,characters-people,365823,208266,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",17,4096x4096,,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/police-ford-transit-2020-basic-interior-2558695/
2576540,Spanish Matador Costume on Man Red,clothing-accessories,319567,529583,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,126.92 x 38.76 x H189.38 cm,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/spanish-matador-costume-on-man-red-2576540/
2564862,Curaprox 5460 Toothbrush Pack Multicolor,collections-sets,295242,424865,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,7.22 x 1.35 x H23.2 cm,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/curaprox-5460-toothbrush-pack-multicolor-2564862/
2574918,Semi Truck with 48ft ISO Container,containers-storage,604050,641358,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,4096x4096 2048x2048,3.06 x 19.8 x H4.27 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/semi-truck-with-48ft-iso-container-2574918/
2558834,S-500 Prometheus SAM Launcher Deployed,electronics-gadgets,754778,820686,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,3.61 x 17.34 x H11.35 m,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/s-500-prometheus-sam-launcher-deployed-2558834/
2559294,Assorted Gumdrops in Paper Cups Set Multicolor,food-beverages,1729568,1488388,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,12.53 x 8.24 x H2.17 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/assorted-gumdrops-in-paper-cups-set-multicolor-2559294/
2565188,Sports Arena Grandstand with Central Booth,furniture-interior,1418273,1512007,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,137.67 x 17.94 x H10.67 m,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/sports-arena-grandstand-with-central-booth-2565188/
2556736,Offshore Jack Up Platform with Drill Tower and Cranes,industrial-equipment,4571960,4483792,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192,98.7 x 110.11 x H90.42 m,299,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/offshore-jack-up-platform-with-drill-tower-and-cranes-2556736/
2560056,Green Onion Rings in Glass Bowl,kitchen-tableware,1076536,1076538,polygonal quads only,model is not jointed,model is not animated,Mixed,0,4096x4096,10.62 x 7.63 x H4.09 cm,19,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/green-onion-rings-in-glass-bowl-2560056/
2572335,LED Light Arri SkyPanel S360-C on Tripod,lighting,193214,217550,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,159.5 x 106.62 x H239.39 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/led-light-arri-skypanel-s360-c-on-tripod-2572335/
2558934,Female Cardiovascular Lymphatic and Nervous System Model,medical-3d-models,291128,292505,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,1024x1024 2048x2048 4096x4096,,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/female-cardiovascular-lymphatic-and-nervous-system-model-2558934/
2565936,US Army XM30 Infantry Fighting Vehicle,military-vehicles,608612,644253,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,222.22 x 479.73 x H285.74 cm,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/us-army-xm30-infantry-fighting-vehicle-2565936/
2559710,Open Carbon Cello Carry Case,musical-instruments,12960,6480,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,4096x4096,,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/open-carbon-cello-carry-case-2559710/
2565977,Dry Grass Tufts Cluster with Sparse Growth Set LowPoly,nature-plants,10644930,11406016,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048 1024x1024,46.97 x 44.5 x H17.56 m,29,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/dry-grass-tufts-cluster-with-sparse-growth-set-lowpoly-2565977/
2553840,Payment Terminal Set with Credit Card and Wallet,other,76127,80094,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096 2048x2048 1024x1024,49.91 x 54.84 x H6.41 cm,79,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/payment-terminal-set-with-credit-card-and-wallet-2553840/
2562532,USNS Arctic T AOE 8 Fast Combat Support Ship,ships,1118433,1222179,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,35.1 x 230.5 x H51.98 m,269,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/usns-arctic-t-aoe-8-fast-combat-support-ship-2562532/
2583585,National Monument Statue of Liberty,signage-decor,425118,427969,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,105.36 x 114.03 x H92.78 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/national-monument-statue-of-liberty-2583585/
2567099,Outdoor American Football Field,sports-recreation,3121379,3243060,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,106.57 x 143.81 x H28.43 m,189,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/outdoor-american-football-field-2567099/
2585831,Timber Cargo Pallet with Maintenance Tools,tools,384978,385854,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,120.24 x 122.25 x H21.26 cm,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/timber-cargo-pallet-with-maintenance-tools-2585831/
2576209,Monopoly Classic Finance Game Board,toys-games,103344,103420,polygonal quads only,model is not jointed,model is not animated,Mixed,0,4096x4096,56.79 x 54.59 x H4.29 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/monopoly-classic-finance-game-board-2576209/
2585836,Oshkosh L-ATV with Heavy Machine Gun,vehicles,1131263,1201323,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,321.78 x 578.89 x H405.23 cm,179,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/oshkosh-l-atv-with-heavy-machine-gun-2585836/
2582844,30 06 Rifle Cartridges with Stripper Clips,weapons,1251045,1252559,polygonal,model is not jointed,model is not animated,Mixed,0,4096x4096,100.84 x 69.69 x H8.76 cm,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/30-06-rifle-cartridges-with-stripper-clips-2582844/
2551516,Yakovlev Yak-130 Aermacchi M-346 Light Attack Jet Rigged,aircraft,631120,659322,polygonal quads/tris,model is jointed,model is not animated,Mixed,0,8192x8192 4096x4096,10.6 x 11.78 x H4.73 m,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/yakovlev-yak-130-aermacchi-m-346-light-attack-jet-rigged-2551516/
2556701,Half Skin Dog Anatomy Muscular and Vascular System,animals-creatures,958452,960348,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,24.77 x 96.77 x H70.73 cm,369,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/half-skin-dog-anatomy-muscular-and-vascular-system-2556701/
2585808,Cemetery Burial Scene with Stone Chapel and Hearse Fur,architecture-landmarks,10644930,11406016,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048 1024x1024,46.97 x 44.5 x H17.56 m,299,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/cemetery-burial-scene-with-stone-chapel-and-hearse-fur-2585808/
2558936,Ford Transit Police Van 2020 Riggable,characters-people,249592,287495,polygonal quads/tris,model is jointed,model is not animated,"Yes, non-overlapping",17,4096x4096,,149,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/ford-transit-police-van-2020-riggable-2558936/
2576613,Floral High Sneakers with Denim Jeans Blue,clothing-accessories,306624,338911,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,47.94 x 33.23 x H114.03 cm,69,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/floral-high-sneakers-with-denim-jeans-blue-2576613/
2562895,US Military MRE Ration Pack with Food,collections-sets,134146,132538,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,112.63 x 48.82 x H12.25 cm,79,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/us-military-mre-ration-pack-with-food-2562895/
2565543,Plastic Fish Crate with Atlantic Herring,containers-storage,348302,347797,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,70.35 x 57.04 x H56.41 cm,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/plastic-fish-crate-with-atlantic-herring-2565543/
2584710,High Voltage Traction Battery,electronics-gadgets,743252,741697,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,120.54 x 173.78 x H34.0 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/high-voltage-traction-battery-2584710/
2574087,Sliced Chili Peppers on Cutting Board Multicolor,food-beverages,455915,461881,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048,39.95 x 45.92 x H7.68 cm,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/sliced-chili-peppers-on-cutting-board-multicolor-2574087/
2564826,Guard Core Surveillance Room Interior,furniture-interior,1308989,1340909,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048 1024x1024,439.02 x 688.94 x H314.52 cm,149,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/guard-core-surveillance-room-interior-2564826/
2556753,Offshore Jack Up Rig Support Legs,industrial-equipment,1509868,1483648,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,64.9 x 62.81 x H176.4 m,89,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/offshore-jack-up-rig-support-legs-2556753/
2565267,Industrial Mobile Robot with Storage Bins Blue,kitchen-tableware,450716,456202,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,337.69 x 108.19 x H219.72 cm,99,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/industrial-mobile-robot-with-storage-bins-blue-2565267/
2572332,Vertical Arri SkyPanel S120-C LED Light,lighting,107476,113031,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,98.32 x 101.91 x H212.13 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/vertical-arri-skypanel-s120-c-led-light-2572332/
2578882,Electronic Medical Bed with Infusion Stand,medical-3d-models,238360,246248,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,243.55 x 175.85 x H175.92 cm,119,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/electronic-medical-bed-with-infusion-stand-2578882/
2562480,MH-6M Little Bird Troop Carrier Helicopter,military-vehicles,289428,301930,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,10.58 x 12.98 x H3.77 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/mh-6m-little-bird-troop-carrier-helicopter-2562480/
2561495,Offshore Jack Up Oil Rig AD-120 on Sea Water,nature-plants,6081831,5967448,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048,272.23 x 388.9 x H184.07 m,379,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/offshore-jack-up-oil-rig-ad-120-on-sea-water-2561495/
2587529,Modular Skatepark Ramp Elements Set,other,59933,60704,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,16.74 x 14.89 x H2.85 m,129,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/modular-skatepark-ramp-elements-set-2587529/
2584424,Wake Surf Boat with Boarding Dock,ships,872894,884674,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,913.01 x 777.8 x H334.22 cm,119,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/wake-surf-boat-with-boarding-dock-2584424/
2577095,Mockup Stacked Newspapers with Twine White,signage-decor,417878,417745,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,31.36 x 42.71 x H21.0 cm,29,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/mockup-stacked-newspapers-with-twine-white-2577095/
2574932,Professional Padel Racket with Balls Set Fur,sports-recreation,746151,748345,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,52.0 x 57.84 x H104.01 cm,44,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/professional-padel-racket-with-balls-set-fur-2574932/
2553247,Tractor with Used Twin Rotor Rake Claas Liner 2800,tools,254760,269942,polygonal quads/tris,model is not jointed,,"Yes, non-overlapping",28,8192x8192 4096x4096 2048x2048,,119,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/tractor-with-used-twin-rotor-rake-claas-liner-2800-2553247/
2554183,Rocket Plane Miniature Model with Base Stand,toys-games,84839,86760,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,30.01 x 81.21 x H42.16 cm,139,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/rocket-plane-miniature-model-with-base-stand-2554183/
2585838,Recon Vehicle Oshkosh L-ATV with Heavy Machine Gun Rigged,vehicles,1131263,1201323,polygonal quads/tris,model is jointed,model is not animated,Mixed,0,8192x8192,321.78 x 578.89 x H406.09 cm,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/recon-vehicle-oshkosh-l-atv-with-heavy-machine-gun-rigged-2585838/
2587170,M2 Fifty BMG Ammunition Can,weapons,1163276,1163780,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,4096x4096,15.25 x 47.05 x H43.23 cm,49,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/m2-fifty-bmg-ammunition-can-2587170/
2551627,Military Light Attack Jet Aircraft Green,aircraft,631120,659322,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,10.6 x 11.78 x H4.73 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/military-light-attack-jet-aircraft-green-2551627/
2556974,Canine Muscular and Skeletal Anatomy Structure,animals-creatures,951727,953451,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,24.29 x 95.84 x H70.32 cm,329,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/canine-muscular-and-skeletal-anatomy-structure-2556974/
2579880,Sport Basketball Arena Indoor Interior,architecture-landmarks,7202256,7888004,polygonal,model is not jointed,model is not animated,Mixed,0,4096x4096 2048x2048,93.99 x 84.78 x H26.42 m,249,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/sport-basketball-arena-indoor-interior-2579880/
2567371,Cybernetic Eye Implant with Humanoid Head,characters-people,240381,250670,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,44.86 x 35.99 x H16.55 cm,89,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/cybernetic-eye-implant-with-humanoid-head-2567371/
2576612,Casual High Sneakers with Joggers,clothing-accessories,297113,329287,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,51.13 x 33.71 x H117.45 cm,79,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/casual-high-sneakers-with-joggers-2576612/
2559785,Nymphaea Siam Purple Kit,collections-sets,38183,39038,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",15,4096x4096,,39,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/nymphaea-siam-purple-kit-2559785/
2553772,AgustaWestland AW101 Merlin RAF Rigged,containers-storage,249105,260092,subdivision,model is jointed,model is not animated,"Yes, non-overlapping",0,4096x4096,,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/agustawestland-aw101-merlin-raf-rigged-2553772/
2581986,GPU NVIDIA H200 NVL Disassemblable,electronics-gadgets,614320,670988,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,4.23 x 27.93 x H12.71 cm,89,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/gpu-nvidia-h200-nvl-disassemblable-2581986/
2567092,Cabbage Heads with Garden Bed Green,food-beverages,345763,347662,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192,178.57 x 95.67 x H24.82 cm,79,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/cabbage-heads-with-garden-bed-green-2567092/
2565985,Security Control Room Interior Fur,furniture-interior,1308989,1340909,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 2048x2048 1024x1024,439.02 x 688.94 x H342.98 cm,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/security-control-room-interior-fur-2565985/
2556953,Marine Drill Derrick Tower with Service Equipment,industrial-equipment,1390968,1370912,polygonal quads only,model is not jointed,model is not animated,Mixed,0,8192x8192,56.85 x 39.98 x H70.23 m,149,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/marine-drill-derrick-tower-with-service-equipment-2556953/
2565283,Frying Pan with Chopped Green Onion in Butter,kitchen-tableware,358612,358671,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096 2048x2048,24.02 x 14.99 x H3.76 cm,44,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/frying-pan-with-chopped-green-onion-in-butter-2565283/
2572684,Vertical LED Light Panel on Stand Black,lighting,107476,113031,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,98.32 x 101.91 x H212.13 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/vertical-led-light-panel-on-stand-black-2572684/
2562456,Disassemblable Demonstration Skull with Brain,medical-3d-models,224685,221660,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,31.11 x 30.62 x H34.68 cm,119,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/disassemblable-demonstration-skull-with-brain-2562456/
2582270,Secret Service 2025 Chevrolet Suburban Z71 Rigged,military-vehicles,221427,249004,polygonal quads/tris,model is jointed,model is animated,"Yes, non-overlapping",0,8192x8192 4096x4096,229.49 x 573.43 x H196.97 cm,179,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/secret-service-2025-chevrolet-suburban-z71-rigged-2582270/
2559307,Coffee Plant with Ripe Berry Clusters Green Red,nature-plants,2687889,2720280,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,143.01 x 147.17 x H177.68 cm,89,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/coffee-plant-with-ripe-berry-clusters-green-red-2559307/
